Date,pr
14-09-2012,0.835404089
15-09-2012,0.822863529
16-09-2012,0.808022306
17-09-2012,0.815812082
18-09-2012,0.779785537
19-09-2012,0.792875947
20-09-2012,0.778969292
21-09-2012,0.81536978
22-09-2012,0.786586391
23-09-2012,0.752492692
24-09-2012,0.828687492
25-09-2012,0.802533808
26-09-2012,0.692815777
27-09-2012,0.714564561
28-09-2012,0.810160465
29-09-2012,0.929792271
30-09-2012,0.861470359
01-10-2012,0.854869596
02-10-2012,0.855582018
03-10-2012,0.816884
04-10-2012,0.823105276
05-10-2012,0.794924166
06-10-2012,0.75049449
07-10-2012,0.817792937
08-10-2012,0.719006872
09-10-2012,0.747666275
10-10-2012,0.806481999
11-10-2012,0.837589351
12-10-2012,0.851455894
13-10-2012,0.836957958
14-10-2012,0.808341939
15-10-2012,0.790747843
16-10-2012,0.781241923
17-10-2012,0.784296848
18-10-2012,0.771248104
19-10-2012,0.722769285
20-10-2012,0.714201865
21-10-2012,0.747898334
22-10-2012,0.771464708
23-10-2012,0.763929386
24-10-2012,0.741825313
25-10-2012,0.806664541
26-10-2012,0.830791529
27-10-2012,0.854041495
28-10-2012,0.835567724
29-10-2012,0.75454573
30-10-2012,0.785811445
31-10-2012,0.771156096
01-11-2012,0.787170757
02-11-2012,0.791919446
03-11-2012,0.750539797
04-11-2012,0.691355604
05-11-2012,0.822054418
06-11-2012,0.790857748
07-11-2012,0.758851755
08-11-2012,0.772275709
09-11-2012,0.828078028
10-11-2012,0.825650153
11-11-2012,0.807774181
12-11-2012,0.786139314
13-11-2012,0.787772824
14-11-2012,0.775384554
15-11-2012,0.759064297
16-11-2012,0.722457566
17-11-2012,0.770184411
18-11-2012,0.741539769
19-11-2012,0.773042618
20-11-2012,0.691064596
21-11-2012,0.714967639
22-11-2012,0.682994618
23-11-2012,0.702281864
24-11-2012,0.726725562
25-11-2012,0.786849521
26-11-2012,0.743627041
27-11-2012,0.752668661
28-11-2012,0.745192442
29-11-2012,0.700699841
30-11-2012,0.75989868
01-12-2012,0.738266679
02-12-2012,0.85537979
03-12-2012,0.698850141
04-12-2012,0.73527221
05-12-2012,0.779818471
06-12-2012,0.754256372
07-12-2012,0.748083996
08-12-2012,0.738872178
09-12-2012,0.789608104
10-12-2012,0.723087842
11-12-2012,0.697363554
12-12-2012,0.725732452
13-12-2012,0.707964558
14-12-2012,0.77351915
15-12-2012,0.751958162
16-12-2012,0.773214836
17-12-2012,0.800012993
18-12-2012,0.861100125
19-12-2012,0.822289359
20-12-2012,0.777592109
21-12-2012,0.777551252
22-12-2012,0.788343424
23-12-2012,0.755948636
24-12-2012,0.76920703
25-12-2012,0.804203298
26-12-2012,0.805222397
27-12-2012,0.756958141
28-12-2012,0.785245457
29-12-2012,0.789518891
30-12-2012,0.786854975
31-12-2012,0.697406903
01-01-2013,0.721222918
02-01-2013,0.761084804
03-01-2013,0.761156396
04-01-2013,0.714002534
05-01-2013,0.769712038
06-01-2013,0.741421215
07-01-2013,0.764449937
08-01-2013,0.774203266
09-01-2013,0.765036271
10-01-2013,0.785936134
11-01-2013,0.754815675
12-01-2013,0.750013058
13-01-2013,0.764291127
14-01-2013,0.698376683
15-01-2013,0.681249409
16-01-2013,0.788950689
17-01-2013,0.782514923
18-01-2013,0.755796955
19-01-2013,0.817963422
20-01-2013,0.798202851
21-01-2013,0.79866802
22-01-2013,0.804063102
23-01-2013,0.775968053
24-01-2013,0.778300507
25-01-2013,0.820063712
26-01-2013,0.78538642
27-01-2013,0.818425513
28-01-2013,0.819576703
29-01-2013,0.829537227
30-01-2013,0.800858175
31-01-2013,0.806287584
01-02-2013,0.837883785
02-02-2013,0.829070854
03-02-2013,0.811509483
04-02-2013,0.801000312
05-02-2013,0.796045518
06-02-2013,0.772168352
07-02-2013,0.7654964
08-02-2013,0.810452411
09-02-2013,0.844152164
10-02-2013,0.771341714
11-02-2013,0.841459739
12-02-2013,0.677420323
13-02-2013,0.780735528
14-02-2013,0.809279983
15-02-2013,0.740714375
16-02-2013,0.735894325
17-02-2013,0.752815364
18-02-2013,0.759931547
19-02-2013,0.832678732
20-02-2013,0.815168965
21-02-2013,0.781451258
22-02-2013,0.744486003
23-02-2013,0.68624664
24-02-2013,0.75222003
25-02-2013,0.729240072
26-02-2013,0.765203524
27-02-2013,0.771666607
28-02-2013,0.833809285
01-03-2013,0.731853866
02-03-2013,0.845442621
03-03-2013,0.844621831
04-03-2013,0.833336417
